Disease,S1,S2,S3,S4,S5,S6
Grayson-willbrandt syndrome,Eye pain,Dystrophy of anterior membrane,Periodic red eyes,Impaired vision,,
Zuskas disease,Breast lump,Nipple discharge,Chest pain,Areolar pain,Fever,
Fraser-like syndrome,Excessive amniotic fluid,Craniofacial anomalies,Patent ductus arteriosus,Cleft palate,Beaked nose,Overlapping 2nd and 3rd fingers
Aids-associated nephropathy,Nephrotic syndrome,Kidney dysfunction,Kidney damage,Severe proteinuria,Kidney failure,Enlarged kidneys
Gorlin-sedano syndrome,Short end bones of thumbs,Short straight collarbones,Impacted teeth,Short foot bone - metacarpal,Short hand bone - metatarsal,
Beeswax poisoning,Nausea,Lack of bowel movements,Abdominal swelling,Abdominal pain,Gastrointestinal blockage,
Hereditary carnitine deficiency myopathy,Muscle cramps,Carnitine deficiency in muscle,Muscle weakness,Muscle aches,Cardiomyopathy,Kidney problems
Floppy infant syndrome,Reduced muscle tone,Reduced spontaneous activity,Weak suck in infants,Muscle weakness,Poor head control,Lethargy
Gastrointestinal basidiobolomycosis,Painless nodule or lump underneath the skin,Swelling,Abdominal pain,Abdominal mass,Elephantiasis,
Ascher's syndrome,Atrophy of subcutaneous eyelid tissue,Eyelids swelling,Enlarged thyroid,Recurrent eyelid edema,Thick gums,Thickened lips
Heart cancer,Angina,Abnormal heart rhythm,Fainting,Cachexia,Heart attacks,Tachycardia
Knee injury,Knee inflammation,Decreased mobility,Knee wound,Knee swelling,Knee pain,
Leg injury,Decreased mobility,Leg wound,Peripheral oedema,Leg pain,Swelling of legs,
Shigellosis,Nausea,Pus in diarrhea,Blood in stool,Tenesmus (straining at stool),Diarrhea,Seizures in children
Telfer-sugar-jaeger syndrome,White forelock,Mental deficiency,Light pubic hair,Deafness,Cerebellar ataxia,White skin patches
Erythema,Engorged small blood vessels,Red skin inflammation,Symptoms of erythema nodosum,Symptoms depend on the type of erythema,,
Esophagitis,Swallowing pain,Esophagus pain,Shock,Abdominal pain,Swallowing difficulties,Esophageal bleeding
Extrinsic asthma,Chest tightness,Breathing difficulties,Chest pain,Shortness of breath or wheezing,Chest pressure,Constricted airways
Foot injury,Decreased foot mobility,Foot bruise,Swelling in feet,Foot pains,Foot deformities,
Gravitational eczema,Oozing skin on lower legs,Cracked skin on lower legs,Red skin on lower legs,Swelling of legs,Scaly skin on lower legs,Crusted skin on lower legs
Hairy tongue,White tongue,Green tongue,Hair-like tongue projections,Brown tongue,Black tongue,
Heart injury,Abnormal heart rhythm,Raised jugular venous pressure,Palpitations,Irregular pulse,Chest pain,Tachycardia
Hemochromatosis-related diabetes,Bronzing of the skin (hence the term 'bronze diabetes),Liver or pancreatic cancer,Hair loss,Chronic fatigue,Abdominal pain,Joint pain
Human bite,Bleeding from the wound,Pain at wound,Bite wound,Swelling near wound,Bruising at wound,
Iliotibial band syndrome,Knee ache at the side of the knee during activity,Thigh pain,Not usually knee swelling,Knee snap,,
"Juvenile idiopathic arthritis, unclassified",Joint inflammation,Uveitis,Limping,Joint swelling,Joint pain,Joint stiffness
Undescended testes,Testis not fully into scrotum,Testis misplaced in the groin,Hidden testicle,Incomplete descent of testicles - varying degrees of severity,Testis misplaced in the abdomen,
Millian erythema,Skin redness,Headaches,Malaise,Fever,Skin rashes,
Glucosamine -- adverse effects,Nausea,Rashes,Headaches,Constipations,Diarrhea,Heartburn
Chikungunya,Backaches,Rashes,Headaches,Severe arthralgia,Fever,
Filovirus,Nausea,Sore throat,Impaired blood coagulation,Headaches,Chest pain,Chills
Hemiballismus,Violent movements involving one side of the body,Involuntary muscle spasms on one side of the body,Involuntary movements on one side of the body,Usually arms are more affected than the legs,,
"Bowing, congenital, short bones",Short statures,Short long bones,Bowed long bones,Abnormal vertebrae,Narrow shoulders,Short limbs
Grass spider poisoning,Skin lesion,Muscle pain,Pallor,Ataxia,Localized tissue necrosis,Lethargy
Cornea plana 1,Thin corneas,Reduced visual acuity,Impaired vision,Unusually flattened cornea,,
"Ehlers-danlos syndrome, x-linked",Epileptic seizures,Underdeveloped brain - cerebellum,Mental retardation,Brain malformations,,
Carcinoid of gastrointestinal tract,Swollen feet or ankles,Facial flushing,Feeling of fullness in the abdomen,Abdominal discomfort,Shortness of breath or wheezing,Diarrhea
Ichthyosis congenital -- biliary atresia,Ichthyosis,Dry skin,Absent biliary opening,Obstructive liver disease,,
Hydrops fetalis -- anaemia -- immune disorder -- absent thumb,Hydrops fetalis,Severe congenital anemia,Immune disorder,Absent thumbs,,
Motor neuropathy,Involuntary muscle twitching or jerking,Muscle cramps,Muscle wasting,Muscle weakness,,
Gingival fibromatosis and dental abnormalities,Thin underdeveloped tooth enamel,Calcification inside tooth pulp,Gum fibromatosis,Delayed tooth eruption,,
Gillum-anderson syndrome,Nearsightedness,Weak orbital connective tissue,Drooping upper eyelids,Dislocated eye lens,,
Ehlers-danlos syndrome type 3,Hyperextensible skin,Joint hypermobility,Soft skin,Dislocated joints,Fragile connective tissue,Chronic joint pain
Jeune-tommasi syndrome,Mental deficiency,Enlarged heart,Sensorineural deafness,Diffuse lentigines,Cerebellar ataxia,
Fluphenazine -- teratogenic agent,Oral clefts,Poor skull bone calcification,Wide set eyes,Enlarged ventricles,Retarded fetal growth,Heart defect
Edwards-gale syndrome,Proximal toe contractures,Proximal finger contractures,Short fingers,Short toes,,
Henkin syndrome,Unpleasant taste in mouth,Distorted sense of taste,Impaired ability to smell,Distorted sense of smell,Impaired ability to taste,Unpleasant smell
Aids-related complex,Swollen lymph glands,Night sweats,Enlarge lymph nodes,Diarrhea,,
Hirschsprung -- microcephaly -- cleft palate,Small head,Cleft palate,Distended stomach,Constipations,Hirschsprung megacolon,
Forearm injury,Forearm deformity,Decreased mobility,Forearm swelling,Forearm bruising,Forearm pain,
Ring d2 chromosome,Underdeveloped nipple,Small head,Epicanthal folds,Widely spaced first and second toes,Small jaw,Drooping upper eyelids
Horn-kolb syndrome,Projections on ends of arm stumps,Projections on ends of leg stumps,Absent hands,Absent feet,,
Encephalopathy due to sulphite oxidase deficiency,Spasticity,Psychomotor retardation,Death,Myopia,Weakness on one side of body,Abnormal amino acid metabolism
Alcoholic paranoia,Distrust,Impotency after alcohol consumption,Recurring state of panic,Delusional suspicion,Delusional jealousy,Sexual brutality
Generalised anxiety disorder,Nausea,Chronic unnecessary worrying,Difficulty coping with everyday life,Muscle aching,Twitching,Headaches
Glenard syndrome,Nausea,Backaches,Sinking feeling,Headaches,Fatigability,Muscle tone problems
Hard syndrome,Type ii lissencephaly,Hyperplastic primary vitreous,Retinal dysplasia,Genital anomalies in males,Argyria,Absent septum pallucidum
Heller-nelson syndrome,Poor muscle development,High pitched voice,Infantile genitals,Increased gonadotropin levels in urine,Clumping of leydig cells,Delayed bone development
Heroin withdrawal,Nausea,Watery eyes,Loss of appetite,Muscle cramps,Shaking,Dilated pupils
Acid reflux / heartburn,Nausea,Swallowing difficulties,Acid taste in mouth,Burning sensation anywhere along digestive tract,Indigestion,
Asthma-like conditions,Nighttime coughing,Chest tightness,Chest pain,Shortness of breath or wheezing,Sweating,Narrowing of airways
Leg conditions,Decreased mobility,Peripheral oedema,Leg swellling,Leg pain,,
Lens disorders,Eye pruritus,Eye pain,Eye swelling,Vision problems,,
Pathological fracture,Paralysis,Loss of pulse below fracture,Local bruising,Deformity,Local swelling,Numbness
Perennial allergic rhinitis,Mouth breathing,Runny nose,Nasal congestion,Malaise,Sneezing,Postnasal drainage
Perennial rhinitis,Mouth breathing,Runny nose,Nasal congestion,Malaise,Sneezing,Postnasal drainage
Phimosis,Penile swelling,Swelling of penis on urination,Penile inflammation,Urination pain,Penile discharge,Penile bleeding
Pickwickian syndrome,Sleep apnea,Headaches,Snoring,Hypertension,Daytime sleepiness,Depression
Pneumocystic carinii pneumonia,Dyspnea at rest,Tachypnea,Nonproductive cough,Fever,Shortness of breath,
Polyneuritis,Numbness in hands,Limb paresthesias,Breathing difficulties,Numbness in feet,Foot paresthesias,Limb numbness
Hanhart syndrome,Epicanthus,Small  mouth,Small tongue,Small jaw,Missing parts of fingers,Absent tongue
Dyshidrotic dermatitis,Cracked skin,Intense burning,Inflamed skin,Intense itching,Hot skin,Reddish skin
Osler-rendu-weber syndrome 2,Cerebral arteriovenous malformations,Telangiectases on mucosal lining,Telangiectases on visceral organs,Nose bleeding,Skin telangiectases,Pulmonary arteriovenous malformations
Dermochondrocorneal dystrophy of francois,Small skin nodules on elbows,Small skin nodules around nose,Small skin nodules around ears,Osteochondral deformity of hands,Osteochondral deformity of feet,Small skin nodules on hands
"Small intestine cancer, adult",Black stool,Blood in stool,Gastrointestinal bleeding,Abdominal pain,Abdominal mass,Pallor
Céstan-chenais syndrome,Ataxia on one side of body,Droopy eyes,Reduced proprioceptive senses on one side of body,Sunken eyes,Reduced sense of touch on one side of body,Constricted pupils
Parsonage turner syndrome,Muscle wasting,Atrophic paralysis of shoulder muscles,Muscle weakness,Upper arm pain,Hyperesthesia,Shoulder pain
"Familial granulomatosis, blau type",Uveitis,Cranial neuropathies,Impaired hearing,Dermatitis,Synovitis,Arthritis
Polyarteritis,Blood in stool,Tiredness,Weight loss,Adolescents,Relapsing-remitting,Abdominal pain
Plasma cell leukemia,Enlarged liver,Bone pain,Mental confusion,Loss of appetite,Palpitations,Kidney failure
Leg duplication -- mirror foot,Short legs,Foot anomalies,Absent shin bone,Absent kneecap,Abnormal shin bone,Abnormal foot positioning
Ehlers-danlos syndrome caused by tenascin-x deficiency,Fragile skin,Hyperextensible skin,Easy bruising,Dislocated joints,Tenascin-x deficiency,Loose joints
Myositis ossificans,Calcium deposits in muscles,Malformed toes,Shortened digits,Rigid muscles,Tenderness,Limited joint movements
Pelvic dysplasia arthrogryposis of lower limbs,Narrow shafts of long bones,Narrow hips,Dislocated hips,Muscle weakness,Muscle pain,Restricted joint mobility
Familial visceral myopathy,Dilated ureters,Constipations,Diarrhea,Abdominal pain,Reduced abdominal muscles,Urinary retention
Mitral valve prolapse syndrome,Light headedness,Palpitations,Dizzy spells,Back flow of blood through heart valve,Chest pain,Inability to breath lying down
Wohlwill-andrade syndrome,Paresthesia,Muscle wasting,Cachexia,Walking difficulties,Orthostatic hypotension,Urinary incontinence
Alsing syndrome,Polyuria,Metabolic acidosis,Enuresis,Renal salt wasting,Kidney failure,Polydipsia
Trigonocephaly -- broad thumbs,Nail abnormalities,Premature fusion of sagittal skull bones,Beaked nose,Epicanthic folds,Large mouth,Extra fingers
Klismaphilia,Abnormal amount of time spent thinking about having an enema,Recurring intense sexual fantasies involving having an enema,Sexual arousal gained from having an enema,Sexual interest in having an enema,,
Knee conditions,Knee inflammation,Decreased mobility,Knee swelling,Knee pain,,
Knee sprain,Symptoms of sprain,Walking difficulties,Knee pain on bearing weight,Knee swelling,Knee pain on standing up,Knee pop
Larynx conditions,Sore throat,Breathing difficulties,Loud breathing,Hoarse voice,,
Left heart failure,Tiredness,Symptoms of heart failure,Orthopnea as condition progresses,Increased nighttime breathlessness,Fluid accumulation in lungs,Shortness of breath
Lung damage,Hyperventilation,Shortness of breath or wheezing,Chronic cough,Expanded chest,Shortness of breath on exertion and later at rest,
Lymphangitis,Red streaks from source of infection to lymph nodes,Swollen enlarged lymph nodes,Pain and swelling of affected area,Elephantitis,,
Male breast cancer,Breast lump,Nipple discharge,Change in breast size,Scaly breast,Breast changes,Underarm lump
Melanoma,Pigmented areas of skin,Borders: the lesion or growth has irregular edges,Melanoma can start in a mole or in normal skin,Symptoms of ocular melanoma,Fair skin,Unusual mole features
Meniscus injury,Knee swelling,Knee locking,Knee pain,Knee clicking,,
Menstrual conditions,Heavy menstrual bleeding,,Abnormal bleeding,Irregular menstrual cycles,Abdominal pain,
Methahemoglobinemia,Nausea,Blue nails,Blue lips,Breathlessness,Headaches,Tiredness
Migraine,Nausea,Eye paralysis,Hand tingling,Sensitivity to light,Eye pain,Vision disturbances
Miscarriage,Uterine bleeding,Lower abdominal pain,Vaginal bleeding,Menstrual cramps,,
Mixed asthma,Chest tightness,Breathing difficulties,Chest pain,Shortness of breath or wheezing,Chest pressure,Constricted airways
Mouth cancer,Bad breath,Swallowing pain,Pain on eating,Lump in mouth,Mouth ulcers,
Muscle pain,Movement pain,Pain with muscle stretching,Pain with muscle use,Pain at rest,,
Mushroom poisoning,Nausea,Hallucinations,Neurological impairment,Diarrhea,Abdominal cramps,
Necrosadism,Abnormal amount of time spent thinking about mutilating corpses,Recurring intense sexual fantasies involving mutilating corpses,Recurring intense sexual urges involving mutilating corpses,Sexual interest mutilating corpses,,
Nephritis,One or both kidneys affected,Backaches,Reduced urine,Cloudy urine,Edema,Kidney inflammation
Neuralgia,No associated movement disorder,Type of neuralgia,No associated paralysis,Nerve pain,,
Nicotine addiction,High blood pressure,Strong craving for nicotine products,Increased tolerance to effects of nicotine,Avoid activities where smoking is prohibited,Inability to stop smoking,Persistent cough
Obesity,Secondary medical complications,Increased bmi,Increased weight,Increased abdominal girth,,
Occupational asthma -- cement industry,Chest tightness,Breathing difficulties,Chest pain,Shortness of breath or wheezing,Chest pressure,Constricted airways
Occupational cancer -- laryngeal cancer,Breathing difficulties,Noisy breathing,Feeling of lump in throat,Persistent cough,Changes in voice,Hoarseness
Occupational cancer -- larynx cancer,Breathing difficulties,Noisy breathing,Feeling of lump in throat,Persistent cough,Changes in voice,Hoarseness
Occupational cancer -- pharynx cancer,Sore throat,Enlarge lymph nodes,Throat ulcers,Lump in throat,Bleeding in mouth,Swallowing difficulties
Occupational skin cancer -- farmers,Unusual mole,Mole changes,Crusted bleeding skin lesion that doesn't heal,Non-healing skin lesion,,
Occupational skin cancer -- fisherfolk,Unusual mole,Mole changes,Crusted bleeding skin lesion that doesn't heal,Non-healing skin lesion,,
Occupational skin cancer -- tool setters,Unusual mole,Mole changes,Crusted bleeding skin lesion that doesn't heal,Non-healing skin lesion,,
Occupational skin cancer -- welders,Unusual mole,Mole changes,Crusted bleeding skin lesion that doesn't heal,Non-healing skin lesion,,
Orthostatic hypotension,Fainting,Light headedness,Syncope (temporary loss of consciousness),Hypotension on posture changes,Headaches,Drop in blood pressure
Ovarian cysts,Nausea,Abdominal ache,Abnormal bleeding,Early periods,Vaginal bleeding,Pain during sex
Overweight,Secondary medical complications,Increased bmi,Increased weight,Increased abdominal girth,,
Palate cancer,Swallowing pain,Night sweats,Painful swelling,Dysphagia,Ulcers,Lumps
Palmoplantar psoriasis,Itchy skin,Cracked skin,Walking difficulties,Emotional distress,Difficulty doing manual tasks involving the hands,Skin pain
Pancreatic cancer,Nausea,Upper abdominal and back pain,Loss of appetite,Itchy skin,Jaundice,Tiredness
Parkinson disease 10,Poor balance,Postural instability,Parkinson's gait,Tremors,Hyperreflexia,Rigidity of muscles
Parkinson disease 11,Poor balance,Postural instability,Parkinson's gait,Tremors,Hyperreflexia,Rigidity of muscles
Parkinson disease 12,Poor balance,Postural instability,Parkinson's gait,Tremors,Hyperreflexia,Rigidity of muscles
Parkinson disease 13,Poor balance,Postural instability,Parkinson's gait,Tremors,Hyperreflexia,Rigidity of muscles
Parkinson disease 8,Poor balance,Postural instability,Parkinson's gait,Tremors,Hyperreflexia,Rigidity of muscles
"Parkinson disease, familial, type 1",Dysotnic cramps,Dementia,Postural instability,Resting tremors,Dysautonomia,Rigidity of muscles
Pelvic pain,Painful micturition or have a bowel movement,Pain that ranges from mild to severe,Pain that ranges from dull to sharp,Severe cramping during periods,Pain during intercouse,
Peptic ulcer,Nausea,Black stool,Blood in stool,Gastrointestinal bleeding,Abdominal discomfort,Abdominal bloating
Peritonitis,Low blood pressure,Shivering,Silent abdomen - lack of intestinal motion,Shallow breathing,Hard abdominal muscles,Ovarian cysts
Pharyngitis,Sore throat,Red throat,Swallowing pain,Swollen glands,Breathing difficulties,Headaches
Photosensitivity,Skin sensitivity to sunlight,Hives after sunlight exposure,Dermatitis after sunlight exposure,Skin rash from light exposure,,
Pleurisy,Referred abdominal pain,Shallow breathing,Chest pain,Referred shoulder-tip pain,Pleural effusions,Rapid breathing
Podophilia,Abnormal amount of time spent thinking about feet,Recurring intense sexual fantasies involving feet,Recurring intense sexual urges involving feet,Sexual attraction to feet,Sexual interest in feet,Sexual preference for feet
Pollen allergy,Nausea,Rhinitis,Angioedema,Cough,Bronchospasm,Headaches
Polycystic kidney disease,Backaches,Organ cysts,Headaches,Kidney pain,Kidney failure,Enlarged kidneys
Premenstrual syndrome,Bowel motion changes,Dizziness,Palpitations,Anxiety,Headaches,Sleep problems
Hanhart syndrome type i,Delayed gonad development,Brachycephaly,Impaired libido,Retarded growth,Loss of libido,Absence of secondary sexual characteristics
Fluoride overuse,Aching bones,Stiff bones,Yellow-brown tooth staining,Chalky white patches on teeth,,
Cochleosaccular degeneration of the inner ear and progressive cataracts,Problems with balance,Deafness,Staggering gait,Impaired vision,Cataract,Incoordination
Postural orthostatic tachycardia syndrome,Lightheadedness,Headaches,Chest pain,Chronic fatigue,,
Borreliosis,Headaches,Joint swelling,Stiff neck muscles,Muscle pain,Fever,Skin rashes
Kuskokwim disease,Absent corneal reflex,Pigmented nevi,Impaired corneal reflexes,Muscle wasting,Joint contractures,Enlarged muscles
Toxic polyneuropathy -- phenytoin,Muscle aching,Tingling,Burning sensations,Abnormal sensations,Loss of sensation,Altered sensations
Hypoglossia,Breathing problems in some cases,Speech problems,Some teeth missing,Underdeveloped tongue,Feeding problems,Tooth enamel defects - variable
Medication related hypothyroidism,Dry skin,Intolerance to cold,Coarsening and thinning of hair,Constipations,Depression,Puffy eyes
Desmoid tumor,Tender subcutaneous mass in lower abdominal wall,Firm subcutaneous mass in lower abdominal wall,Arm lump,Leg lump,,
"Spastic paraplegia 3, autosomal dominant",Walking difficulties,Spastic gait,Lower leg spasticity,Sphincter control problems,Weakness in the legs,Flat feet
"Spastic paraplegia 6, autosomal dominant",Tonic-clonic seizures,Lower leg spasticity,Postural tremor in upper limbs,Weak ankle movements,Wasted shin muscles,Flat feet
Trigger thumb,Finger tenderness,Flexor tendon nodule,Fusiform swelling on flexor tendon,Thumb tenderness,,
Massa-casaer-ceulemans syndrome,Spasticity,Lissencephaly,Dislocated hips,Joint contractures,Mental retardation,Impaired joint mobility
Tizzard syndrome,Large feet,Short feet,Short hands,Small corneas,Large hands,
Nielsen-jacobs syndrome,Agnosia,Impaired muscle movement,Inability to speak,Open eyes,Incontinence,Lack of pain sensation
Aprosodia,Emotionless voice,Inability to convey feelings,Lack of emotion when speaking,Inability to comprehend emotions in spoken language,,
Passos-bueno syndrome,Incontinence,Muscle wasting,Reduced muscle tone,Muscle weakness,Walking inability,Mental retardation
Cardiomyopathy dilated 1g,Abnormal heart rhythm,Fainting,Palpitations,Shortness of breath,Heart dysfunction,
Cardiomyopathy dilated 1e,Abnormal heart rhythm,Palpitations,Dilated ventricles,Heart dysfunction,,
Myoclonus hereditary -- progressive distal muscular atrophy,Dementia,Wasting of distal muscles,Distal muscle weakness,Speech defects,Abnormal walk,Seizures
Adnexal and skin appendage neoplasms,Frequent cramps,Abdominal pain,Vision impairments,Yellow bumps on the skin,Menstrual irregularities,
Contact dermatitis -like behind-knee rash,Red rash behind knee,Blistered skin behind knees,Inflammation behind knees,Itching behind knees,,
Split-hand deformity,Cleft hands,Claw-like hand appearance,Missing parts of fingers,Missing fingers,,
"Thyroid cancer, familial medullary",Medullary thyroid cancer,Diarrhea,Flushing,Lumps in the neck,,
Food allergy related asthma,Chest tightness,Breathing difficulties,Chest pain,Shortness of breath or wheezing,Chest pressure,Constricted airways
Stoll-geraudel-chauvin syndrome,Short statures,Anteverted nostrils,Long groove in upper lip,Broad nose,Wide set eyes,Mental retardation
Hoigne syndrome,Sense of fear,Sense of panic,Confusion,Vertigo,Severe agitation,Psychotic reactions
Craniosynostosis cleft lip palate arthrogryposis,Arthrogryposis,Craniosynostosis,Cleft palate,Premature fusion of sagittal skull bones,Cleft lips,
Arachnodactyly -- mental retardation -- dysmorphism,Small  mouth,Poorly muscled build,Long feet,Long thin toes,Broad head,Underdeveloped external genitalia
Arachnodactyly -- ataxia -- cataract -- aminoaciduria -- mental retardation,Long thin fingers,Delayed developmental milestones,Mental retardation,Cerebellar ataxia,High amino acid level in urine,Congenital cataracts
Tretinoin (topical) -- teratogenic agent,Holoprosencephaly,Small head,Supraumbilical exomphalos,Limb reduction defects,Abnormal ears,Retarded fetal growth
Triaminic -- teratogenic agent,Gastroschisis,Distal limb defects,Small intestinal atresia,Clubfoot,,
Congenital x-linked retinoschisis,Squinting,Reduced central vision,Macular atrophy,Progressive vision impairment - progresses slowly,Macula anomalies - cystic lesion,Progressively impaired sharpness of vision
Granulosa cell tumor of the ovary,Dysuria,Pelvic mass,Abdominal distention or discomfort,Precocious puberty in children,Constipations,Abdominal discomfot
Oral contraceptives -- teratogenic agent,Kidney malformations,Limb reduction defects,Heart defect,Vertebral malformations,,
Female genital disorders,Incontinence,Vaginal bleeding,Infertility,Vaginal itching,Pelvic pain,Genital pain
Gastrointestinal amyloidosis,Poor absorption of food,Constipations,Intestinal bleeding,Diarrhea,Abdominal pain,Inflamed tongue
Progressive spinobulbar muscular atrophy,Dysarthria (speech impairment),Difficulty in swallowing,Gynecomastia,Tongue weakness,Facial weakness,
Norman-roberts lissencephaly syndrome,Small head,Low forehead,Rigid muscles,Prominent nose bridge,Excessive reflexes,Mental retardation
Ménétrier's disease,Nausea,Loss of appetite,Low blood protein level,Melena,Erosion on stomach mucosa,Mucous abdominal cysts
Legg-calve-perthes syndrome,Tender hip muscles,Limp,Hip pain,Limited leg motion,Muscle spasms in hip,
Leg absence -- deformity -- cataract,Foot anomalies,Progressive scoliosis,Vision loss,Missing bones in legs,Leg deformities,Lordosis
Taurodontia -- absent teeth -- sparse hair,Thin nails,Taurodontia,Some teeth missing,Large tooth pulp chambers,Broad alveolar ridges,Sparse scalp hair
Dwarfism -- tall vertebrae,Short statures,Thin ribs,Coxa vara,Cordate pelvis,Long thin fingers,Mental retardation
Optic nerve coloboma with renal disease,Oedema,Small kidneys,Urethral anomalies,Kidney failure,Vesicoureteral reflux,Protein in urine
Myotonic dystrophy type 3,Proximal muscle atrophy,Early-onset dementia,Proximal muscle weakness,Changes in the fronto-temporal portion of the brain,Weak facial muscles - early sign,Weak temporal muscles - early sign
Pelvic fracture,Bowel incontinence,Bladder incontinence,Haematuria,Walking difficulties,Pelvic pain,Pelvic instability
Good syndrome,Sinopulmonary infection,Reduced level of b cells,Reduced levels of all immunoglobulins,Diarrhea,Thymoma,Absent b cells
Collecting duct carcinoma,Flank pain,Abdominal pain,Fever,Blood in urine,,
"Olivopontocerebellar atrophy, hereditary",Clumsy movements,Progressive incoordination of voluntary movements,Speaking difficulty,Progressive balance problems,Progressive speech problems,Slurred speech
Wittwer sydnrome,Absence of speech,Hearing loss,Blindness,Epilepsy,Failure to thrive,Mental retardation
Meningocele,Paralyzed legs,Bowel dysfunction,Bladder dysfunction,Spinal defects,Spinal mass,Swelling of the brain (hydrocephalus)
Palmoplantar porokeratosis of mantoux,Spiny bumps on palms,Spiny bumps on soles,Rough palms,Rough soles,Temporary skin depressions on palms,Temporary skin depressions on soles
Palmoplantar keratoderma -- xx sex reversal -- predisposition to squamous cell carcinoma,Predisposition for skin cancers,Xx male,Thickened skin on palms,Thickened skin on soles,,
Impacted tooth,Tooth still underneath gum tissue,Crookedly growing tooth,Gum pain,Gum infections,Crowded teeth,
Acute upper respiratory infection,Sore throat,Cough,Local swelling,Edema,Erythema,Otitis media
Primary angle closure glaucoma,Pain and redness,Headaches,Halos may be seen around bright lights,Blurred vision,,
Balance disorders,Nausea,Dizziness,Disorientation,Vertigo,Giddiness,Blurred vision
Morning glory fundus anomaly -- optic nerve coloboma -- porencephaly -- hydronephrosis,Holoprosencephaly,Optic nerve coloboma,Exotropia,Morning glory anomaly,Porencephaly,Hydronephrosis
Croton poisoning,Nausea,Diarrhea,Abdominal pain,Skin irritation,Burning sensation in mouth,Skin rashes
Deafness -- opticoacoustic nerve atrophy -- dementia,Premature death,Blindness,Atrophy of optic nerve,Sensorineural deafness,Impaired vision,Progressive dementia
Freiberg disease,Red skin over toe joint swelling,Fragmented end of toe bone,Swollen toe joint,Foot pains,Foot deformities,
Lasseur-graham-little syndrome,Destruction of follicles,Cicatrical alopecia of pubes,Cicatrical alopecia of scalp,Cicatrical alopecia of limbs,Follicular plugging,
Rasmussen-johnsen-thomsen syndrome,Foot anomalies,Short fifth finger,Pyloric stenosis,Rigid rocker-bottom feet,Flat feet,Bulging eyes
"Episodic ataxia, type 6",Cerebellar atrophy,Reduced muscle tone,Headaches,Slurred speech,Confusion,Rhythmic arm jerking
"Mitral valve prolapse, familial, x-linked",Abnormal heart rhythm,Dizziness,Palpitations,Headaches,Chest pain,Low blood pressure when lying down
"Mitral valve prolapse, familial, autosomal dominant",Abnormal heart rhythm,Dizziness,Palpitations,Headaches,Chest pain,Low blood pressure when lying down
Syringobulbia,Absence of sweating on affected side of face,Speaking difficulty,Flushing on affected side of face,Vertigo,Vocal cord paralysis,Tongue fibrillation
Kashani-strom-utley syndrome,Short statures,Auricular septal defects,Enlarged ureters,High blood pressure,Malabsorption,Narrow pulmonary aorta
Hallux limitus,Painful base of big toe,Swollen base of big toe,Walking difficulties,Reduced mobility of big toe,Pain when walking,Calluses
Hallux rigidus,Painful base of big toe,Swollen base of big toe,Lump next to big toe - cause by spur formation,Walking difficulties,Loss of mobility of big toe,Pain when walking
Angiofollicular ganglionic hyperplasia -- hyaline-vascular type,Dry cough,Lymphadenitis,Chest pain,Abdominal pain,Lumps,Shortness of breath
Angiofollicular ganglionic hyperplasia -- plasma cell type,Loss of appetite,Skin changes,Recurring infections,Increased blood gammaglobulin level,Fever,Skin rashes
Liver conditions,Splenomegaly,Abdominal lumps,Chest pain,Gallbladder problems,Diarrhoea,Abdominal pain
"Synovitis granulomatous with uveitis and cranial neuropathies, familial",Acute iridocyclitis,Cranial neuropathies,Sixth cranial nerve palsy,Boggy polysynovitis of hands,Boggy polysynovitis of wrists,Boutonniere deformities of hands
Enteroaggregative e. coli infection,Blood in stool,Diarrhea,Malaise,Abdominal pain,Fever,Mucus in stool
Enteric anendocrinosis,Abnormal enteroendocrine cells,Diarrhea,Poor growth,Hyperchloremic metabolic acidosis,,
Enlarged vestibular aqueduct syndrome,Fluctuating hearing loss,Hearing loss,Large vestibular aqueduct,Sensorineural hearing loss,,
Asymbolia for pain,Lack of pain sensation,Absent or reduced sense of smell,Frequent physical injuries,Other sensations such as pressure and touch are intact,Inability to feel foreign objects in eye,Mouth injuries are common
Asymmetric crying facies,Facial weakness on one side,Asymmetrical face when smiling,Asymmetrical face when crying,Underdeveloped muscle that controls lower lip,,
Blue cone monochromatism,Abnormal vision of blue color,Progressive abiotrophy,Macular scarring,Poor color vision,,
Monosomy 13q32,Reduced intelligence,Digital malformations,Birth defects,Mental retardation,Retarded growth,
Monophobia,Nausea,Dry mouth,Anxiety,Trembling,Feeling of panic,Feeling of terror
Monosodium glutamate (msg) adverse reaction,Dizziness,Jaw tightness,Feeling of head expanding and contracting,Headaches,Pin-prick sensations,Upper back tightness
Rhabdomyosarcoma of the orbit,Eyelids swelling,Eye pain,Bulging eyes,Limited eye movements,Nose bleed,Eye swelling
Trip (2) (q11.2-q21),Underdeveloped corpus callosum,Dandy walker malformations,Death,Cleft palate,Missing thumbs,Underdeveloped lungs
Prolymphocytic leukemia,Enlarge lymph nodes,Tiredness,High level of prolymphocytes in bone marrow,High level of prolymphocytes in blood,,
Japanese pagoda tree poisoning,Nausea,Excitement,Diarrhea,Delirium,Abdominal pain,
Premature aging,Reduced hormone production by testes,Premature mental development,Premature physical development,Premature atrophy of subcutaneous fat,Premature atrophy of muscles in extremities,Premature graying of hair
